First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
John,Crawley,44,M,6,7,4,2,2,1,19,0.21052631578947367,7,0.3684210526315789,2,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jeff,Teat,7,A,6,29,15,15,0,14,35,0.42857142857142855,28,0.8,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kyle,Pless,2,LSM,5,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
JD,Colarusso,11,G,8,0,0,0,0,0,2,0,0,0,1,,0,0,0,0,0,35,0.492957746478873,37,11.303702132173544,1,0,9427,0,0,0,0,0,0,,1
Ryan,Lee,45,A,3,5,4,4,0,1,14,0.2857142857142857,11,0.7857142857142857,0,,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,1,1,0,0,,0
Eddy,Glazener,30,D,8,0,0,0,0,0,2,0,1,0.5,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jules,Heningburg,7,M,8,20,15,15,0,5,28,0.5357142857142857,24,0.8571428571428571,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,,0
Charlie,Leonard,47,FO,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Gerard,Arceri,16,FO,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Colin,Squires,39,D,8,0,0,0,0,0,1,0,1,1,1,,1,9,3,6,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kyle,Thornton,19,D,2,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Justin,Anderson,21,M,8,8,4,3,1,3,23,0.17391304347826086,16,0.6956521739130435,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,0
